Company Name,Industry,Symbol,Series,ISIN Code
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
NHPC Ltd.,POWER,NHPC,EQ,INE848E01016
NLC India Ltd.,POWER,NLCINDIA,EQ,INE589A01014
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029
Oil India Ltd.,OIL & GAS,OIL,EQ,INE274J01014
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010
SJVN Ltd.,POWER,SJVN,EQ,INE002L01015
