ticker,date
ABCAPITAL.NS,20211204
CRISIL.NS,20211204
ENDURANCE.NS,20211204
ESCORTS.NS,20211204
FORTIS.NS,20211204
GMRINFRA.NS,20211204
GLAXO.NS,20211204
KANSAINER.NS,20211204
METROPOLIS.NS,20211204
MPHASIS.NS,20211204
RAJESHEXPO.NS,20211204
SOLARINDS.NS,20211204
SYNGENE.NS,20211204
TIINDIA.NS,20211204
ADANIGREEN.NS,20211204
APOLLOHOSP.NS,20211204
PGHH.NS,20211204
TORNTPHARM.NS,20211204
VEDL.NS,20211204
CARBORUNIV.NS,20211204
AEGISCHEM.NS,20211204
CHAMBLFERT.NS,20211204
BSOFT.NS,20211204
REDINGTON.NS,20211204
RATNAMANI.NS,20211204
ELGIEQUIP.NS,20211204
BSE.NS,20211204
BRIGADE.NS,20211204
IBREALEST.NS,20211204
SIS.NS,20211204
WELCORP.NS,20211204
SOLARA.NS,20211204
LUXIND.NS,20211204
TRIDENT.NS,20211204
RAYMOND.NS,20211204
TCIEXP.NS,20211204
SCI.NS,20211204
LAOPALA.NS,20211204
GREAVESCOT.NS,20211204
DCAL.NS,20211204
SFL.NS,20211204
TCNSBRANDS.NS,20211204
TVTODAY.NS,20211204
ASAHIINDIA.NS,20211204
KPRMILL.NS,20211204
KPITTECH.NS,20211204
SPANDANA.NS,20211204
SUNCLAYLTD.NS,20211204
TANLA.NS,20211204
BOROLTD.NS,20211204
BORORENEW.NS,20211204
GTLINFRA.NS,20211204
GREENLAM.NS,20211204
HBLPOWER.NS,20211204
HCC.NS,20211204
INOXWIND.NS,20211204
KIRLOSENG.NS,20211204
MAJESCO.NS,20211204
MIRZAINT.NS,20211204
NRBBEARING.NS,20211204
PILANIINVS.NS,20211204
RSYSTEMS.NS,20211204
SAFARI.NS,20211204
SIRCA.NS,20211204
TTML.NS,20211204
TIMETECHNO.NS,20211204
TRIVENI.NS,20211204
VOLTAMP.NS,20211204
ABCAPITAL.NS,20211211
CRISIL.NS,20211211
CREDITACC.NS,20211211
ENDURANCE.NS,20211211
GMRINFRA.NS,20211211
GLAXO.NS,20211211
KANSAINER.NS,20211211
METROPOLIS.NS,20211211
MPHASIS.NS,20211211
SOLARINDS.NS,20211211
TIINDIA.NS,20211211
ZEEL.NS,20211211
APOLLOHOSP.NS,20211211
PGHH.NS,20211211
TORNTPHARM.NS,20211211
CARBORUNIV.NS,20211211
AEGISCHEM.NS,20211211
CHAMBLFERT.NS,20211211
REDINGTON.NS,20211211
ELGIEQUIP.NS,20211211
BSE.NS,20211211
BRIGADE.NS,20211211
PNBHOUSING.NS,20211211
TV18BRDCST.NS,20211211
IBREALEST.NS,20211211
SEQUENT.NS,20211211
SIS.NS,20211211
WELCORP.NS,20211211
NATIONALUM.NS,20211211
INOXLEISUR.NS,20211211
SOLARA.NS,20211211
HFCL.NS,20211211
BEML.NS,20211211
SUZLON.NS,20211211
IIFL.NS,20211211
RAYMOND.NS,20211211
POLYPLEX.NS,20211211
TCIEXP.NS,20211211
SCI.NS,20211211
LAOPALA.NS,20211211
GREAVESCOT.NS,20211211
NETWORK18.NS,20211211
DCAL.NS,20211211
SFL.NS,20211211
KPRMILL.NS,20211211
KPITTECH.NS,20211211
SPANDANA.NS,20211211
SUNCLAYLTD.NS,20211211
TANLA.NS,20211211
ADFFOODS.NS,20211211
BORORENEW.NS,20211211
DFMFOODS.NS,20211211
GTLINFRA.NS,20211211
GREENLAM.NS,20211211
HBLPOWER.NS,20211211
HCC.NS,20211211
IFCI.NS,20211211
INOXWIND.NS,20211211
JPPOWER.NS,20211211
LUMAXTECH.NS,20211211
MTNL.NS,20211211
MAJESCO.NS,20211211
MAYURUNIQ.NS,20211211
MIRZAINT.NS,20211211
NEOGEN.NS,20211211
PILANIINVS.NS,20211211
RSYSTEMS.NS,20211211
SIRCA.NS,20211211
TTML.NS,20211211
TRIVENI.NS,20211211
UNICHEMLAB.NS,20211211
ABCAPITAL,20211218
CRISIL,20211218
CREDITACC,20211218
GLAXO,20211218
IBULHSGFIN,20211218
METROPOLIS,20211218
MINDAIND,20211218
PERSISTENT,20211218
TTKPRESTIG,20211218
SIEMENS,20211218
TORNTPHARM,20211218
YESBANK,20211218
MCX,20211218
IEX,20211218
CDSL,20211218
CARBORUNIV,20211218
REDINGTON,20211218
ALOKINDS,20211218
BSE,20211218
BAJAJELEC,20211218
TV18BRDCST,20211218
FLUOROCHEM,20211218
IBREALEST,20211218
VTL,20211218
SEQUENT,20211218
WELCORP,20211218
INOXLEISUR,20211218
HFCL,20211218
SUZLON,20211218
ECLERX,20211218
POLYPLEX,20211218
ASHOKA,20211218
LAOPALA,20211218
NETWORK18,20211218
VARROC,20211218
JAICORPLTD,20211218
KPRMILL,20211218
RESPONIND,20211218
SPANDANA,20211218
TANLA,20211218
APARINDS,20211218
BOROLTD,20211218
BORORENEW,20211218
GTLINFRA,20211218
GREENLAM,20211218
HBLPOWER,20211218
HCC,20211218
IFCI,20211218
INOXWIND,20211218
JSWISPL,20211218
JPPOWER,20211218
JINDALPOLY,20211218
KENNAMET,20211218
LGBBROSLTD,20211218
MTNL,20211218
MAYURUNIQ,20211218
MIRZAINT,20211218
MOLDTKPAC,20211218
NEOGEN,20211218
PILANIINVS,20211218
DIAMONDYD,20211218
RAMCOSYS,20211218
RTNINDIA,20211218
RENUKA,20211218
SIRCA,20211218
TTML,20211218
UNICHEMLAB,20211218
